 "id" $ "parag" $ "parag_value" $
 "http://ldf.fi/nbf/p1011" $ "http://ldf.fi/nbf/biography/p122041" $ "Tiedonhaluinen mutta varaton Emma Irene Åström sai ihailemiltaan opettajilta kannustusta ja tukea pyrkiessään opintiellä eteenpäin. Ensimmäisenä naisena maisteriksi 1882 promovoidusta Åströmistä tuli esikuva erityisesti Suomen ruotsinkielisen naisliikkeen piirissä." $
 "http://ldf.fi/nbf/p1011" $ "http://ldf.fi/nbf/biography/p122042" $ """Minua ei kannata sanoa tienraivaajaksi, koska en ole koskaan tietoisesti ollut sitä"", Suomen naisten yliopisto-opiskelun keulahahmoksi kohotettu Emma Irene Åström sanoi. Omasta mielestään hän oli toteuttanut vain omia, yksityisiä intressejään, joita hän - 80 vuotta täyttäessään - näki aikakauden aatevirtausten kannattaneen. Emma Irene Åströmin hellittämätön tiedonjano oli ilmeisen tiedostamatonta pyrkimystä kotioloja avarampaan maailmaan, jota edustivat kirjat ja oppineisuus. Oppineisuuden kunnioitus sai hänen tielleen osuneet oppineet - jotka tuolloin olivat miehiä - auttamaan köyhää, lahjakasta ja ""miesten"" oppialoista, filosofiasta ja latinasta, innostunutta nuorta naista, varsinkin kun tämä pysytteli aina vaatimattomana taka-alalla, kuuntelevan ja ihailevan Marian osassa." $
 "http://ldf.fi/nbf/p1011" $ "http://ldf.fi/nbf/biography/p122043" $ "Maisteriksi 1882 promovoitu, liberaalipiirien ja naisliikkeen uranuurtajien - muiden muassa Zachris Topeliuksen ja Adelaïde Ehrnroothin juhlarunoin - juhlima Emma Irene Åström oli opintojensa alusta asti ollut eri koulujen opettaja, ja opetustyö jatkui Tammisaaren seminaarin ruotsin, suomen ja historian lehtorin viran (1886 - 1912) jälkeenkin. Emma Irene Åströmin legendaarisuutta kasvatti Topelius käyttämällä häntä Tähtien turvatit -teoksen päähenkilön esikuvana. Kaksi Emma Irene Åströmistä kirjoitettua elämäkertaa ja muistelmateos osoittavat, että kertomus köyhän, ruotsinkielisen saaristolaistytön tiestä vaikeuksien kautta yliopistomaailman juhlimaksi yleiskansalliseksi merkkihenkilöksi on ollut naisliikkeen ohella erityisen tärkeä Suomen ruotsinkieliselle väestölle." $
 "http://ldf.fi/nbf/p1011" $ "http://ldf.fi/nbf/biography/p122044" $ "Taivassalon kirkkoherran, rovasti Carl Åströmin samanniminen maanmittaripoika sai pappilan suomenkielisen Justiina-piian kanssa kaksi aviotonta tytärtä, joista vanhempi ristittiin 1847 kummina olleen ruustinna-isoäidin ehdotuksesta Emmaksi. Rovastin kuoltua leski muutti poikansa kanssa Ahvenanmaalle. Pojan tyttäret jäivät entisessä työpaikassa jatkaneen äidin huomaan, kunnes isä 1853 kutsui perheen luokseen. Emmasta tuli ruotsinkielinen. Vanhempien 1864 solmimasta avioliitosta syntyi vielä kolme poikaa jo ennestään vähävaraiseen perheeseen. Paikkakunnan papit taivuttivat kuitenkin Carl Åströmin lähettämään Emman 1865 Jyväskylän seminaariin, jonka silloisesta johtajasta, Suomen kansakoululaitoksen isästä Uno Cygnaeuksesta tuli tytön tukija ja epävirallinen holhooja, mutta myös yliopisto-opintojen jarruttelija." $
 "http://ldf.fi/nbf/p1011" $ "http://ldf.fi/nbf/biography/p122045" $ "Ylioppilastutkinnon suorittamista Emma Irene Åströmille ehdotti Jyväskylän seminaarin, sittemmin Suomalaisen normaalilyseon matematiikanopettaja Ernst Bonsdorff, jonka omat, avioliitosta Åströmin seminaaritoverin Ida Forssellin kanssa syntyneet viisi tytärtä jäivät vaille vastaavaa kannustusta. Ylioppilastutkintoa aluksi vastustanut Cygnaeus järjesti suojatilleen pätevän latinanopettajan, ja esimies kouluylihallituksessa, yliopiston vt. sijaiskansleri, vapaaherra Casimir von Kothen osoitti vapaamielisyyttään hankkimalla hänelle luvan opiskella ja suorittaa tutkinnot yliopistossa." $
 "http://ldf.fi/nbf/p1011" $ "http://ldf.fi/nbf/biography/p122046" $ "Isän kuolema 1874 katkaisi yliopisto-opinnot kokonaan kahdeksi vuodeksi, sillä vastuu perheestä pakotti Emma Irene Åströmin hyväksymään Cygnaeuksen ehdottaman Tammisaaren seminaarinopettajan toimen. Emma Irene Åstromistä tuli filosofian maisteri 1882. Kaksitoista vuotta myöhemmin, elämänsä ehtoopuolella, entiseen suojattiinsa rakastunut Cygnaeus onnistui ohjaamaan tämän lopullisesti samaan, vakinaiseksi muuttuneeseen historian, ruotsin ja suomen lehtorin virkaan Tammisaaren seminaarissa ja siten hyödyttämään kansanopetusta. Emma Irene Åström toimi opettajana myös Tammisaaren yhteiskoulussa ja Sisälähetyksen saarnaajakoulussa." $
 "http://ldf.fi/nbf/p1011" $ "http://ldf.fi/nbf/biography/p122047" $ "Naimattomana elänyt Emma Irene Åström poltti Cygnaeuksen kuoltua 1888 omat kirjeensä tälle syistä, joita ei tiedetä. Syviä, rakkaudeksi tulkittavia Emma Irene Åströmin tunteet olivat olleet yksinäistä ja oppinutta Rooman kirjallisuuden professoria Fredrik Julius Peterseniä kohtaan, jonka seurassa viettämiään hetkiä hän muisteli vuosikymmeniä myöhemmin ""ylimaallisen ihanina"". Petersenin muotokuva koristi hänen kotiaan koko hänen loppuelämänsä ajan. Emma Irene Åströmistä tuli Helsingin yliopiston filosofisen tiedekunnan ensimmäinen naispuolinen kunniatohtori 1927." $
 "http://ldf.fi/nbf/p10205" $ "http://ldf.fi/nbf/biography/p68350" $ "Konstantin Aladin peri samannimisen isänsä kauppa- ja liiketoiminnan Haminassa ja oli 1900-luvun alussa kaupungin merkittävimpiä elinkeinonharjoittaja. Hän oli isänsä tapaan avokätinen lahjoittaja kotiseudullaan." $
 "http://ldf.fi/nbf/p10205" $ "http://ldf.fi/nbf/biography/p68351" $ "Kauppaneuvos Konstantin Aladinin yksi poika, isänsä kaima Konstantin Aladin, jatkoi suvun tarinaa Haminassa. Hänellä oli kokonaan toinen lähtökohta kuin isällään. Konstantin Aladin nuorempi kasvoi isänsä työn jatkajaksi, toisen polven yrittäjäksi." $
 "http://ldf.fi/nbf/p10205" $ "http://ldf.fi/nbf/biography/p68352" $ "Ero isän lähtökohtiin näkyi koulutuksessa. Konstantin Aladin nuorempi sai – eräiden muiden venäläistaustaisten kauppiaiden jälkikasvun tapaan – koulukasvatuksen ja kirjoitti ylioppilaaksi." $
