"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20"
"1","toimi","toimi","suomalaisen","suomen","nordströmin","suomen","ahrenberg","historian","suomen","helsingin","suomen","sai","opiskeli","helsingissä","sai","elfving","katila","kirkkoherran","luvun","aladin"
"2","sai","sundwall","oopperan","luvulla","einsteinin","tuli","krohn","suomen","luvun","sundwall","luvun","suomen","suomen","castrén","arvon","tuli","sai","filosofian","heikel","isänsä"
"3","suomen","myöhemmin","suomen","vuotta","einstein","vuotta","suomen","bonsdorff","tuli","sai","jäi","yliopiston","luvulla","merikanto","suomen","kaksi","ensimmäinen","kappalainen","yliopiston","konstantin"
"4","nimitettiin","isänsä","fazer","kirjoitti","nordström","johan","ahrenbergin","turun","sai","julkaisi","sundwallin","toimi","ylioppilaaksi","olleen","luvun","carl","helsingin","suomen","sievers","luvun"
"5","hovioikeuden","fazer","baletin","sai","suhteellisuusteorian","kuului","julius","professori","toimi","arthur","sai","heikel","helsingissä","toimi","usein","luvun","vuoden","rein","alma","elfving"
"6","gustaf","palmén","kirjoitti","opettajana","suomen","elfving","luvun","åbo","emma","sievers","myöhemmin","brummer","historiaa","kaupungin","vuoden","vuoteen","katilan","apulainen","sai","sai"
"7","ignatius","perusti","aarnen","toimi","sittemmin","karl","robert","luvun","irene","tuli","toimi","suomalaisen","gustaf","aikana","heikelin","erik","ignatius","ylioppilaaksi","toimi","frosterus"
"8","vaasan","helsingissä","sai","näkyi","vapaaherra","emma","kielen","bäck","vuotta","yliopiston","helsingin","helsingin","avulla","teki","tuli","dahlström","suomen","määrättiin","finska","toimi"
"9","vuotiaana","johannes","toimi","kuolemaansa","vuoden","irene","arthur","grotenfelt","åströmin","huolimatta","eikä","poika","sundwall","hallituksen","kaupungin","suomen","luvun","saarijärven","professori","karl"
"10","eläkkeelle","jäsenenä","vuoteen","useita","granfelt","myöhemmin","johan","tuli","tammisaaren","osallistui","uudelleen","vuoden","hop","uuden","vuonna","helsingin","grotenfelt","maisteriksi","julkaisi","yliopistossa"
"11","vuotta","edvard","vuoden","ingman","maalaus","toimi","castrén","yliopistossa","myöhemmin","useita","bredenberg","eli","filosofian","vuoksi","dahlström","jatkoi","tuli","opettaja","einsteinin","helsingin"
"12","jäi","sai","johtokunnan","krohn","ohella","teki","helsingin","helsingin","ensimmäinen","alkoi","nybergh","aarne","toimi","kahden","saksassa","söderhjelm","aikana","toimi","nordström","koko"
"13","siirtyi","kuului","katila","julkaisi","suomalaisen","erik","alussa","julkaisi","aladin","ulkomuseon","kuului","väitöskirjan","luvun","arthur","paljon","vuotta","juuri","siirtyi","suomen","tapaan"
"14","lähes","lahjoitti","acktén","bäck","luvun","sandberg","luvulla","historia","alussa","ensimmäisen","aikana","siirrettiin","eli","testamentin","heikel","tammisaaren","piti","valmistui","tuli","omisti"
"15","yhtä","karl","aino","carlssonin","julkaisi","ahrenbergin","arkkitehti","alma","perustettiin","intendentti","usein","ylennettiin","paljon","stenijn","hedbergin","toimi","edusti","vuoden","alussa","toimintaan"
"16","eron","useita","forssa","rein","fysiikan","stråhle","kaarle","carl","uuden","arvon","jäsen","lääketieteen","maan","fysiikan","bäckin","aladin","kuusi","apulaiseksi","suvun","aloitti"
"17","virastaan","nimitettiin","lontoon","ilmestyi","painovoiman","willebrand","krohnin","yliopiston","vuodesta","kollegansa","tutkimuksen","tuli","edvard","raha","hurmerinta","nuorempi","mustialan","nordström","kirjoitti","puolisonsa"
"18","willebrand","axel","aluksi","runoja","teoria","erityisesti","professori","myöhemmin","krohnin","yleisen","professorin","filosofian","antiikin","nystén","tarvittiin","saada","evert","vihittiin","vuonna","huomiota"
"19","erityisesti","johan","järjesti","sundwall","max","kolme","vaimonsa","ajan","julkaisi","sieversin","käytti","ylioppilaaksi","saatiin","ensimmäisenä","ruotsin","jätti","sanomissa","kirkkoherra","teki","matkusti"
"20","helsingin","hurmerinta","myöhemmin","erityisesti","esitti","ensimmäinen","aikansa","ensimmäinen","sievers","sisätautien","aikanaan","takia","veturin","suomen","perheen","achté","ahrenberg","papiksi","erik","otti"
