"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20"
"1","vuosi","toimia","tammisaari","saada","syntyä","valmistua","johtaja","puheenjohtaja","professori","vuode","nuori","määrätä","arvo","yliopisto","castrén","helsinki","nimittää","väitöskirja","saksa","tohtori"
"2","palata","solmia","virka","tulla","karl","filosofia","toimia","toimia","söderhjelm","toimia","suomi","apulainen","saada","helsinki","myöhemmin","vuosi","eläke","koulu","sievers","dosentti"
"3","saada","willebrand","vuosi","vuosi","emil","ylioppilas","jäsen","valita","historia","willebrand","vuosi","kirkkoherra","luku","suorittaa","nimittää","palmén","jäädä","vuosi","tehdä","väitellä"
"4","seurata","suomi","kaupunki","opettaja","luku","vuosi","grotenfelt","jäsen","tulla","sievers","armeija","uusi","alku","suomi","arthur","siirtyä","virka","tehdä","arvonimi","aika"
"5","erota","avioliitto","toimia","hyvä","carl","opiskella","siirtyä","vuosi","alma","aika","käyttää","hoitaa","tulla","vuosi","vuosi","polyteknillinen","toimia","teos","opintomatka","krohn"
"6","suomi","vuosi","suomi","fysiikka","toimia","suomi","valtio","valtiopäivä","vuosi","tehtävä","tuntea","pappi","kuolla","korkeakoulu","saada","opisto","turku","varten","saada","järjestää"
"7","loppu","johtaja","emma","berndtson","wichmann","maisteri","suomalainen","sihteeri","yliopisto","erityisesti","turva","tehtävä","elfving","wilhelm","dahlström","armeija","vuosi","valmistua","elämäntyö","kööpenhamina"
"8","aika","usea","irene","heinola","slotte","lähteä","ooppera","kuolema","filosofia","lainvalmistelukunta","alue","vihkiä","johtokunta","brummer","senaatti","toimia","viipuri","tohtori","antaa","kirjallisuus"
"9","kutsua","tulla","åström","varatuomari","bonsdorff","kandidaatti","senaatti","hallitus","kandidaatti","suomi","kuulua","ensimmäinen","ylentää","ylioppilastutkinto","helsinki","kolme","nybergh","aladi","vuosi","kansanrunoudentutkimus"
"10","jokin","harrastaa","metsäkoulu","vasta","opiskella","sairaala","ensimmäinen","perustaa","elää","puheenjohtaja","stenij","katila","siirtää","tulla","tulla","lehtori","lääni","kauppaneuvos","nikolai","professori"
"11","virka","tytär","opettaa","jäädä","helsinki","toimia","fazer","ruotsalainen","antiikki","jäsen","upseeri","tulla","oikeus","tiedekunta","heikel","hurmerinta","willebrand","konstantin","sveitsi","valita"
"12","senaatti","matkustaa","osallistua","kaksi","perhe","helsinki","perustaminen","kuulua","päätoimittaja","johtokunta","fauna","elfving","vaasan","heikel","tehtävä","opettaja","helsinki","opettaja","ruotsinkielinen","filosofia"
"13","hoitaa","voida","perhe","matkustaa","poika","yliopisto","vanha","kansanedustaja","tutkinto","hoitaa","fennica","virka","vuotias","professori","siirtyä","forssa","metsänhoitaja","venäjä","piiri","toimia"
"14","siirtyä","pohjoismainen","lehtori","kulua","fredrika","lääketiede","korkea","kansanpuolue","suomi","maa","flora","siirtyä","nystén","ylentää","loppu","virka","felix","hertzberg","professori","suomi"
"15","mukana","vierailla","johtaja","pitkä","keskieurooppa","puoli","johtokunta","taideyhdistys","loppu","lyhyt","pro","toimitussihteeri","osakepankki","sama","työ","suomi","kaupunki","rafael","maa","saada"
"16","perustuslaillinen","yhteys","suomalainen","ystävä","koulutus","lisensiaatti","vuosi","edustaja","tutkimus","toimittaja","societa","toiminnanjohtaja","ensimmäinen","opiskella","tehdä","jäädä","hovioikeus","kreikka","suomi","heikel"
"17","jättää","aktiivisesti","toimi","osallistua","fredrik","sitten","mustiala","elfving","akademi","yleinen","siellä","saada","valita","aleksanteri","kirjoittaa","sörnäinen","hoitokunta","tutkimus","rindell","nimitys"
"18","kieltolaki","mainita","tuntea","vapaussota","edvard","ylilääkäri","suomi","suomi","åbo","aloittaa","enckell","heikel","perustaa","carlsson","nimi","ensimmäinen","professori","aineisto","tieteellinen","vuotias"
"19","kolme","helsingfors","koulu","kurkijoki","kappalainen","elfving","professori","yhdistys","työskennellä","yhdistys","gustaf","jalkaväkirykmentti","osasto","valita","saksa","tunzelma","sama","käsitellä","ansio","määrätä"
"20","opinnot","finlands","hyväksyä","august","laaja","tutkimus","vuotias","luku","jatkaa","viktor","tutkinto","komentaja","helsinki","teknillinen","kuolla","ennen","ensin","carl","huomata","ottaa"
