"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20"
"1","luvun","suomen","emma","suomen","aladin","sai","sundwall","einsteinin","tuli","toimi","historian","brummer","kirkkoherran","suomen","suomen","toimi","johannes","frosterus","sai","luvulla"
"2","sai","toimi","irene","toimi","luvun","sandberg","rein","suhteellisuusteorian","luvun","luvun","yliopiston","toimi","kappalainen","nystén","toimi","wichmann","sundwall","eli","tuli","berndtsonin"
"3","kaksi","suomalaisen","suomen","suomalaisen","konstantin","suomen","sundwallin","einstein","elfving","ensimmäisen","sundwall","edvard","apulainen","vuotta","useita","osallistui","bäck","helsingin","grotenfelt","sai"
"4","kahden","palmén","katila","granfelt","isänsä","forssan","lääketieteen","nordströmin","sai","ajan","helsingin","fazer","carl","oopperan","turun","suomen","sotaväen","vuotiaana","ignatius","aikana"
"5","arvon","karl","åströmin","luvun","nuorempi","ahrenbergin","filosofian","suomalaisen","helsingin","helsingin","sai","sai","suomen","pankin","ahrenberg","kaupungin","merikanto","seuran","toimi","vuoden"
"6","unohduksiin","heikel","åström",NA,"toimi","luvun","julkaisi","fysiikan","uuden","vuoteen","suomen","luvulla","stenij","sai","luvun","tuli","aminoff","gustaf","siirtyi","vuoteen"
"7","gustaf","castrén","suomalaisen","hyvin","kirjoitti","edelleen","sai","nordström","lehden","eli","turun","vuotta","vihittiin","tuli","krohn","kirjoitti","suomen","jatkoi","hallituksen","suuren"
"8","helsingin","johan","helsingin","vuoteen","hurmerinta","tuli","yhä","krohn","julkaisi","vuodesta","elfving","myöhemmin","saarijärven","myöhemmin","jäsenenä","siirtyi","luvun","pian","nimitettiin","toimi"
"9","pääasiassa","helsingin","myöhemmin","vasta","jatkoi","kaksi","ennen","piti","ryhtyi","maailmansodan","karl","vuoden","filosofian","kuului","gustaf","vuoden","sai","elfving","bäck","pääasiassa"
"10","heikelin","teki","vuotta","jäsenenä","kaupungin","isä","laaja","teoria","virkaa","forssa","eikä","ennen","tuli","elfving","senaatin","bredenberg","historian","lähes","gösta","vuonna"
"11","sitten","vuoden","erityisesti","kaksi","haminan","aladin","suuri","achté","sieversin","suomen","antiikin","määrättiin","kuoli","johtokuntaan","tuli","bonsdorff","kirkon","julkaisi","valtion","uutta"
"12","bäckin","krohn","naisliikkeen","yliopiston","alussa","lahjoitti","snellmanin","sundwall","sairaalan","sai","sievers","saman","uuden","johtokunnan","tuolloin","teki","åbo","eikä","castrén","uuden"
"13","rein","professori","sai","vuoden","suomen","lähes","rindell","yliopiston","tieteellistä","tuli","liittopankin","siirrettiin","turun","katila","yliopistossa","julkaisi","joutui","osin","senaatti","vuodesta"
"14","kenraalikuvernööri","fredrik","åströmistä","jäsen","sai","pidetty","kirjailija","kuului","vuotta","vuotta","söderhjelmin","ylennettiin","apulaiseksi","toimi","ensimmäinen","helsingin","loppupuolella","bredenberg","helsingin","osa"
"15","aikanaan","slotte","eli","dahlström","tuli","parhaiten","antiikintutkimuksen","uuden","kaksi","myöhemmin","dosentti","suomen","määrättiin","ruotsinkielisten","helsingin","ylioppilaaksi","pysyi","frosteruksen","luvun","näin"
"16","myötä","sai","aarne","vuodesta","aladinin","rein","thiodolf","epäilemättä","myöhemmin","abn","luvun","tuli","edvard","valittiin","julius","valmistui","ennen","sai","jäi","rindell"
"17","hertzberg","isänsä","aarnen","aarne","nimitettiin","lapissa","aktiivisesti","näkemyksensä","toimi","elfving","julkaisi","helsingin","testamentin","jäsen","osallistui","kirjoittautui","antiikin","suomen","pian","ahrenberg"
"18","raha","vuoksi","jäänyt","kansanrunoudentutkimuksen","julkaisi","maalaus","professori","otti","ensimmäinen","evon","yliopistossa","luvun","kirkkoherra","einsteinin","luvulla","finska","päällikön","näki","lopulta","berndtson"
"19","liittopankin","oopperan","voidaan","vertailevan","sörnäisten","palmén","sievers","painovoiman","kirjallisuuden","johtajana","aloitti","kuului","papiksi","kirjoitti","dahlström","åbo","westman","sittemmin","professorin","sundwallin"
"20","liittopankki","baletin","italian","nimitettiin","van","erityisesti","myöhemmin","suppeamman","alussa","työskenteli","oskar","valmistui","stråhle","vuonna","kaarle","ingman","tuli","filosofian","pysyi","alma"
